timestamp,run_id,data_quality,phase,world,start_pos,target_pos,reached_target,travel_time_s,distance_travelled_m,average_speed_m_s,proximity_events,hard_collisions,physics_contacts,near_misses,replans,altitude_stability_std_m,mean_trr_percent,cumulative_coverage_percent,total_steps
20260607_150040,20260607_150040,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,8.224,292.699,35.591,219,0,0,,,4e-05,0.0,7.5,1029
20260607_150136,20260607_150136,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,8.224,292.699,35.591,219,0,0,,,4e-05,0.0,7.5,1029
20260607_154029,20260607_154029,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,8.224,292.699,35.591,219,0,0,,,4e-05,0.0,7.5,1029
20260607_154053,20260607_154053,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,8.224,292.699,35.591,219,0,0,,,4e-05,0.0,7.5,1029
20260607_154108,20260607_154108,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,8.224,292.699,35.591,219,0,0,,,4e-05,0.0,7.5,1029
20260607_154130,20260607_154130,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,8.224,292.698,35.591,219,0,0,,,4e-05,0.0,7.5,1029
20260607_154145,20260607_154145,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,8.224,292.699,35.591,219,0,0,,,4e-05,0.0,7.5,1029
20260607_160513,20260607_160513,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,12.84,423.299,32.967,627,0,0,,,3e-05,0.0,9.0,1606
20260607_175757,20260607_175757,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,12.84,423.299,32.967,627,0,0,,,3e-05,0.0,9.0,1606
20260607_190951,20260607_190951,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,37.384,1287.172,34.431,819,0,0,,,2e-05,0.27,32.0,4674
20260607_191157,20260607_191157,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,37.384,1287.171,34.431,819,0,0,,,2e-05,0.27,32.0,4674
20260607_232358,20260607_232358,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,37.384,1287.172,34.431,819,0,0,,,2e-05,0.27,32.0,4674
20260609_221121,20260609_221121,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,53.968,1623.45,30.082,63,0,0,,,2e-05,2.23,23.25,6747
20260609_235419,20260609_235419,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,52.76,1596.875,30.267,63,0,0,,,2e-05,2.28,23.25,6596
20260610_191743,20260610_191743,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,48.92,1663.285,34.0,56,0,0,,,2e-05,0.55,30.75,6116
20260610_203743,20260610_203743,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,48.92,1663.285,34.0,56,0,0,,,2e-05,0.55,30.75,6116
20260610_213659,20260610_213659,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,48.92,1663.285,34.0,56,46,0,,,2e-05,0.55,30.75,6116
20260610_225026,20260610_225026,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,46.528,1575.262,33.856,61,46,0,,,2e-05,0.66,31.0,5817
20260610_232835,20260610_232835,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,46.528,1575.262,33.856,61,46,0,,,2e-05,0.66,31.0,5817
20260610_233514,20260610_233514,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,46.528,1575.262,33.856,61,46,0,,,2e-05,0.66,31.0,5817
20260611_202250,20260611_202250,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,46.528,1575.262,33.856,61,46,0,,,2e-05,0.66,31.0,5817
20260611_211120,20260611_211120,backfilled,Phase 1 — Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,51.568,1581.188,30.662,77,46,0,,,2e-05,1.71,24.0,6447
20260613_163922,20260613_163922,backfilled,Phase 1  -  Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,44.232,1371.039,30.997,128,0,0,,,2.25281,1.48,24.5,5530
20260613_164552,20260613_164552,backfilled,Phase 1  -  Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,44.232,1371.039,30.997,128,0,0,,,2.25281,1.48,24.5,5530
20260613_171701,20260613_171701,backfilled,Phase 1  -  Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,44.232,1371.039,30.997,128,0,0,,,2.25281,1.48,24.5,5530
20260613_180211,20260613_180211,backfilled,Phase 1  -  Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,44.232,1371.039,30.997,128,0,0,,,2.25281,1.48,24.5,5530
20260613_194347,20260613_194347,backfilled,Phase 1  -  Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,44.232,1371.039,30.997,128,83,0,,,2.25281,1.48,25.0,5530
20260613_195846,20260613_195846,backfilled,Phase 1  -  Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,44.232,1371.039,30.997,128,83,0,,,2.25281,1.48,25.0,5530
20260613_200045,20260613_200045,backfilled,Phase 1  -  Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,44.232,1371.039,30.997,128,83,0,,,2.25281,1.48,25.0,5530
20260613_200244,20260613_200244,backfilled,Phase 1  -  Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,44.232,1371.039,30.997,128,83,0,,,2.25281,1.48,25.0,5530
20260613_200441,20260613_200441,backfilled,Phase 1  -  Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,44.232,1371.039,30.997,128,83,0,,,2.25281,1.48,25.0,5530
20260613_203425,20260613_203425,measured,Phase 1  -  Single Drone Lawnmower Patrol & Surveillance Baseline,worlds/single_drone_downtown.wbt,"[-40.0, 48.0, 15.0]","[50.0, 48.0, 15.0]",True,44.232,1371.039,30.997,128,83,0,835,8,2.25281,1.48,25.0,5530
